movie_name,movie_description,casts,genres,run_time,views,rating,seasons,index
The Night Of,"Naz is a straight-laced Paskistani-American student who is off to a must-attend party on a Friday night. His only available transportation being his fathers taxi cab, Naz sets off into Manhattan. But his party-going plans are quickly forgotten when a mysterious young woman jumps aboard in need of a ride. Charmed by her intense intrigue and good looks, Naz gets swept up by her pressures. After a mind-altering night of drugs and passion, the woman is dead, and Naz finds himself in the cross hairs of a gruesome murder investigation, panicked and shaken, but possibly with a trace of doubt as to his own innocence.","Poorna Jagannathan, Syam M. Lafi, John Turturro","Crime, Drama ",1Hr 20 Minutes,818283,0.21,1,943
Stranger Things,"A strange town where everyone knows everyone Is subject to a peculiar incident. The town then undergoes a state of panic, before the government becomes involved. Also, theres a clueless but charming sheriff, who is simply trying to get the town back into control while a smarter character figures out the mystery.","Winona Ryder, David Harbour, Finn Wolfhard","Drama, Horror, Thriller ",60 Minutes,2273099,1.74,3,944
Preacher,After a supernatural event at his church a preacher enlists the help of a vampire to find God.,"Dominic Cooper, Joseph Gilgun, Ruth Negga","Adventure, Drama, Fantasy ",1 Hour,1826989,0.95,4,945
Containment,"The series follows an epidemic that breaks out in Atlanta, leaving the large city quarantined and those stuck on the inside fighting for their lives. The drama tells the story of loved ones torn apart, and how the society that grows inside the cordon reveals both the devolution of humanity and the birth of unlikely heroes.","David Gyasi, Chris Wood, Kristen Gutoskie",Drama ,1 Hour,901741,0.2,1,946
Hunters,The disappearance of a decorated FBI agents wife leads him to a secret government unit assembled to hunt a group of ruthless terrorists - shadowy figures that may or may not be from this world.,"Nathan Phillips, Britne Oldford, Mark Coles Smith","Crime, Drama, Sci-Fi ",1 Hour,1331734,0.33,1,947
Vinyl,A New York music executive in the late 1970s hustles to make a career out of the citys diverse music scene.,"Bobby Cannavale, Olivia Wilde, Ray Romano","Drama, Music ",60 Minutes,582878,0.41,1,948
American Crime Story,An anthology series centered around some of historys most famous criminals.,"Sarah Paulson, Sterling K. Brown, Kenneth Choi","Biography, Crime, Drama ",42 Minutes,810199,0.21,2,949
Outsiders,"A struggle for power and control set in the rugged and mysterious hills of Appalachia, Outsiders tells the story of the Farrell clan, a family of outsiders whove been in these parts since before anyone can remember. Living off the grid and above the law on their mountaintop homestead, theyll protect their world and defend their way of life using any means necessary.","Danielle Brickman, Kyle Gallner, Ed Heavey",Drama ,60 Minutes,782752,0.41,2,950
Lucifer,"Lucifer, bored from his sulking life in hell comes and lives in Los Angeles only to help humanity with it's miseries through his experience and telepathic abilities to bring people's deepest desires and thoughts out of them. While his meeting with a girl in his nightclub (called lux ), a shootout at him and the girl leads him to be a LAPD consultant who in order tries to punish people for their crimes through police, law and justice.","Tom Ellis, Lauren German, Lesley-Ann Brandt",Fantasy ,42 Minutes,8153723,0.9,4,951
Legends of Tomorrow,"Focuses on time-traveling rogue Rip Hunter, who has to recruit a rag-tag team of heroes and villains to help prevent an apocalypse that could impact not only Earth, but all of time.","Victor Garber, Brandon Routh, Caity Lotz","Action, Sci-Fi ",42 Minutes,8142251,1.32,5,952
Shadowhunters,"After her mother is kidnapped, Clary must venture into the dark world of demon hunting in order to find clues that can help her find her mother.","Katherine McNamara, Dominic Sherwood, Alberto Rosende","Action, Drama, Fantasy ",42 Minutes,4649714,1,3,953
Shades of Blue,"The series stars Jennifer Lopez as the main character Harlee Santos, a single-mother FBI agent, who is forced to work in the FBIs anti-corruption task force, whilst dealing with her own financial problems.","Jennifer Lopez, Warren Kole, Dayo Okeniyi","Crime, Drama ",60 Minutes,1685585,0.63,3,954
The Shannara Chronicles,"Series of adventures, war, and evil that occur throughout the history of the Four Lands.","Austin Butler, Poppy Drayton, Ivana Baquero","Adventure, Fantasy, Sci-Fi ",42 Minutes,3172413,0.46,2,955
Billions,"U.S. Attorney Chuck Rhoades goes after hedge fund king, Bobby ""Axe"" Axelrod in a battle between two powerful New York figures.","Paul Giamatti, Damian Lewis, Maggie Siff",Drama ,60 Minutes,2785625,1.78,5,956
War and Peace,"A story that revolves around five aristocratic families, set during the reign of Alexander I, and centered on the love triangle between Natasha Rostova, Pierre Bezukhov, and Andrei Bolkonsky.","Aneurin Barnard, Jessie Buckley, Paul Dano","Drama, History, Romance ",60 Minutes,847039,0.37,1,957
The Magicians,A smart young man attends a college of magic in New York.,"Jade Tailor, Jason Ralph, Olivia Taylor Dudley","Drama, Fantasy, Horror ",60 Minutes,3587340,1.05,5,958
Jessica Jones,A former super-heroine decides to reboot her life by becoming a private investigator.,"Krysten Ritter, Mike Colter, David Tennant","Action, Crime, Drama ",60 Minutes,1206231,0.63,3,959
Chicago Med,"An emotional thrill ride through the day-to-day chaos of the citys most explosive hospital and the courageous team of doctors who hold it together. They will tackle unique new cases inspired by topical events, forging fiery relationships in the pulse-pounding pandemonium of the emergency room.","Oliver Platt, S. Epatha Merkerson, Nick Gehlfuss",Drama ,43 Minutes,2377232,1.55,5,960
Into the Badlands,A mighty warrior and a young boy search for enlightenment in a ruthless territory controlled by feudal barons.,"Daniel Wu, Orla Brady, Sarah Bolger","Action, Adventure, Drama ",42 Minutes,10488831,2.11,3,961
Ash vs Evil Dead,"Ash has spent the last 30 years avoiding responsibility, maturity and the terrors of the Evil Dead until a Deadite plague threatens to destroy all of mankind and Ash becomes mankinds only hope.","Bruce Campbell, Jill Marie Jones, Lucy Lawless","Action, Comedy, Horror ",30 Minutes,1332262,0.3,3,962
Supergirl,The adventures of Supermans cousin in her own superhero career.,"Melissa Benoist, Mehcad Brooks, Chyler Leigh","Action, Adventure, Sci-Fi ",43 Minutes,9797455,1.36,5,963
Quantico,A look at the lives of young FBI recruits training at the Quantico base in Virginia.,"Josh Hopkins, Priyanka Chopra, Aunjanue Ellis",Drama ,42 Minutes,5461953,0.42,3,964
Heroes Reborn,"The Supernatural phenomenon begins again with a fresh crop of inspiring heroes who take on the ultimate struggle between those with extraordinary abilities and those with nefarious motives to hunt and harness their powers. Epic adventures await these newly empowered allies as they cross paths with some of the original characters, unlocking the mysterious fate of the universe and their place within it.","Jack Coleman, Gatlin Green, Ryan Guzman",Fantasy ,45 Minutes,1921485,0.23,1,965
Scream Queens,"Wallace University is rocked by a string of murders. Kappa House, the most sought-after sorority for pledges, is ruled with an iron fist (in a pink glove) by its Queen Bitch, Chanel Oberlin (Emma Roberts). But when anti-Kappa Dean Cathy Munsch (Jamie Lee Curtis) decrees that sorority pledging must be open to all students, and not just the school's silver-spooned elite, all hell is about to break loose, as a devil-clad killer begins wreaking havoc, claiming one victim, one episode at a time. Part black comedy, part slasher flick, SCREAM QUEENS is a modern take on the classic whodunit, in which every character has a motive for murder... Or could easily be the next blood-soaked casualty.","Emma Roberts, Skyler Samuels, Lea Michele","Comedy, Horror ",45 Minutes,1219606,0.17,2,966
Blindspot,"A woman with no memories of her past (Jane Doe), is found naked in Times Square with her body fully covered in intricate tattoos. Her discovery sets off a vast and complex mystery that immediately ignites the attention of the FBI, which begins to follow the road map of her tattoos into a larger conspiracy of crime, while bringing her closer to discovering the truth about her identity.","Kelly P. Williams, Sullivan Stapleton, Jaimie Alexander","Drama, Mystery, Thriller ",42 Minutes,10768851,1.13,5,967
Limitless,"A man gains the ability to use the full extent of his brain's capabilities. A television adaptation of the 2011 film, Limitless.","Jake McDorman, Bradley Cooper, Jennifer Carpenter","Drama, Sci-Fi, Thriller ",42 Minutes,1849438,0.26,1,968
The Bastard Executioner,"Bastard Executioner tells the story of a warrior knight in King Edward The Thirds charge who is broken by the ravages of war and vows to lay down his sword. But when that violence finds him again, he is forced to pick up the bloodiest sword of all.","Darren Evans, Ethan Griffiths, Lee Jones",Drama ,42 Minutes,794807,0.18,1,969
Fear the Walking Dead,"What did the world look like as it was transforming into the horrifying apocalypse depicted in The Walking Dead? This spin-off set in Los Angeles, following new characters as they face the beginning of the end of the world, will answer that question.","Rub̩n Blades, Mercedes Mason, Cliff Curtis","Drama, Thriller, Drama, Horror ",60 Minutes,4195340,0.63,5,970
Zoo,A young scientist searches to find out what's causing a rash of violent animal attacks.,"James Wolk, Kristen Connolly, Nonso Anozie","Drama, Thriller ",42 Minutes,1434067,0.38,3,971
The Astronaut Wives Club,"Based on Lily Koppel's best-selling titular novel, which tells the real story of the women who stood beside some of the biggest heroes in American history during the height of the space race.","Yvonne Strahovski, Kenneth Mitchell, Odette Annable",Drama ,42 Minutes,419294,0.06,1,972
Humans,In a parallel present where the latest must-have gadget for any busy family is a Synth - a highly-developed robotic servant thats so similar to a real human its transforming the way we live.,"Eva-Jane Willis, Emily Berrington, Gemma Chan","Drama, Sci-Fi ",42 Minutes,1238235,0.68,3,973
Dark Matter,"The six-person crew of a derelict spaceship awakens from stasis in the farthest reaches of space. Their memories wiped clean, they have no recollection of who they are or how they got on board. The only clue to their identities is a cargo bay full of weaponry and a destination: a remote mining colony that is about to become a war zone. With no idea whose side they are on, they face a deadly decision. Will these amnesiacs turn their backs on history, or will their pasts catch up with them?","Marc Bendavid, Melissa ONeil, Anthony Lemke","Drama, Sci-Fi, Thriller ",42 Minutes,2329646,0.25,3,974
Murder in the First,"A single murder case is dissected from the committing of the crime through to the investigation, arrest and trial.","Ian Anthony Dale, Currie Graham, Taye Diggs","Crime, Drama, Mystery ",42 Minutes,740496,0.21,2,975
The Fosters,"Teenager Callie Jacobs is placed in a foster home with a lesbian couple and their blend of biological, adoptive and foster children.","Teri Polo, Sherri Saum, David Lambert",Drama ,60 Minutes,1328336,0.27,3,976
Sense8,"A group of people around the world are suddenly linked mentally, and must find a way to survive being hunted by those who see them as a threat to the world's order.","Jamie Clayton, Max Riemelt, Anupam Kher","Drama, Sci-Fi ",60 Minutes,1316068,0.6,2,977
Halt and Catch Fire,"Set in the early 1980s, series dramatizes the personal computing boom through the eyes of a visionary, an engineer and a prodigy whose innovations directly confront the corporate behemoths of the time. Their personal and professional partnership will be challenged by greed and ego while charting the changing culture in Texas Silicon Prairie.","Lee Pace, Scoot McNairy, Mackenzie Davis",Drama ,60 Minutes,653923,0.25,3,978
The Whispers,"An unseen force is manipulating society's most innocent-our children-to act in favor of its cause. As the kids unwittingly help this unknown enemy, the clock counts down in this suspenseful race to save humanity.","Tate Birchmore, Barry Sloane, Lily Rabe","Drama, Sci-Fi ",60 Minutes,768796,0.28,1,979
Aquarius,A gritty 1960s cop drama about a cop who goes undercover to track Charles Manson and the Manson Family before their infamous murder spree.,"David Duchovny, Claire Holt, Emma Dumont","Crime, Drama ",42 Minutes,800127,0.25,2,980
Mr. Robot,Follows a mysterious anarchist who recruits a young computer programmer (Malek) who suffers from an anti-social disorder and connects to people by hacking them.,"Michael Gill, Ben Rappaport, Gloria Reuben","Crime, Drama ",60 Minutes,1345015,0.45,4,981
Wayward Pines,"A Secret Service agent goes to Wayward Pines, Idaho, in search of two federal agents who have gone missing in the bucolic town. He soon learns that he may never get out of Wayward Pines alive.","Matt Dillon, Carla Gugino, Toby Jones","Drama, Mystery, Thriller ",60 Minutes,1039229,0.13,2,982
The Messengers,"A mysterious object crashes on earth and a group of unconnected strangers die from an energy pulse it emits, but then re-awaken to find out that they have been deemed responsible for preventing the impending Apocalypse.","Shantel VanSanten, Sofia Black-DElia, Joel Courtney",Sci-Fi ,60 Minutes,1248788,0.03,1,983
Daredevil,A blind lawyer with his other senses superhumanly enhanced fights crime as a costumed superhero.,"Charlie Cox, Deborah Ann Woll, Elden Henson","Action, Sci-Fi ",60 Minutes,2321967,0.18,3,984
Bloodline,A family of adult siblings find that their secrets and scars are revealed when their black sheep of a brother returns home.,"Norbert Leo Butz, Kyle Chandler, Jamie McShane","Drama, Thriller ",60 Minutes,1164099,0.01,3,985
iZombie,"A medical student finds that being a zombie has its perks, which she uses to assist the police.","Rose McIver, Malcolm Goodwin, Rahul Kohli","Crime, Drama, Horror ",23 Minutes,2082133,0.1,5,986
The Returned,"Focuses on a small town that is turned upside down when several local people, who have been long presumed dead suddenly reappear, having not aged and unaware of their own fatality. As they attempt to resume their lives, strange phenomena and gruesome murders begin to occur.","Mary Elizabeth Winstead, Mat Vairo, Sophie Lowe","Drama, Horror ",60 Minutes,933003,0.01,1,987
Empire,A unique family drama set in the world of a hip hop empire.,"Lizzy Leigh, Bryshere Y. Gray, Jussie Smollett","Drama, Music ",42 Minutes,22177413,0.52,6,988
Secrets And Lies,"A family man finds the body of a young boy while jogging and becomes the prime suspect. He has no choice but to try to find the real killer as his marriage, his kids, his reputation, and his sanity are all at stake.","Robert Fortunato, Michael Mercaldi, Jeff Peters","Crime, Drama ",42 Minutes,1315347,0.01,2,989
The Last Man on Earth,THE LAST MAN ON EARTH is a new single-camera comedy about the life and adventures of the last man on earth. PHIL MILLER (Forte) was once just an average guy who loved his family and hated his job at the bank - now he's humanity's last hope. Will he ever find another person alive on the planet? Would hoping that she is a female be asking too much?,"Cleopatra Coleman, January Jones, Mel Rodriguez","Action, Comedy, Sci-Fi ",30 Minutes,2059007,0.04,4,990
Better Call Saul,"The trials and tribulations of criminal lawyer, Saul Goodman, in the time leading up to establishing his strip-mall law office in Albuquerque, New Mexico.","Bob Odenkirk, Rhea Seehorn, Patrick Fabian","Comedy, Crime, Drama ",60 Mins,1184349,0.05,5,991
12 Monkeys,Follows the journey of a time traveler from the post-apocalyptic future who appears in present day on a mission to locate and eradicate the source of a deadly plague that will eventually decimate the human race.,"Aaron Stanford, Amanda Schull, Noah Bean","Adventure, Drama, Mystery ",42 Minutes,1755698,0.07,4,992
Shameless,An alcoholic man lives in a perpetual stupor while his six children with whom he lives cope as best they can.,"Emmy Rossum, William H. Macy, Cameron Monaghan","Comedy, Drama ",46 Minutes,3513943,0.23,6,993
Agent Carter,"Peggy Carter becomes a S.H.I.E.L.D. agent during WW2 after her boyfriend, Steve Rogers (Captain America) is feared dead in an explosion.","Hayley Atwell, Shea Whigham, Lyndsy Fonseca","Action, Adventure, Sci-Fi ",42 Minutes,1151841,0.02,2,994
The Librarians,"A group of librarians set off on adventures in an effort to save mysterious, ancient artifacts.","John Larroquette, Rebecca Romijn, Christian Kane",Adventure ,42 Minutes,1718750,0.03,4,995
Lost Girl,"Lost Girl focuses on the gorgeous and charismatic Bo, a supernatural being called a succubus who feeds on the energy of humans, sometimes with fatal results. Refusing to embrace her supernatural clan system and its rigid hierarchy, Bo is a renegade who takes up the fight for the underdog while searching for the truth about her own mysterious origins.","Anna Silk, Kris Holden-Ried, Ksenia Solo","Crime, Fantasy ",60 Minutes,993688,0.09,1,996
Constantine,A man struggling with his faith is haunted by the sins of his past but is suddenly thrust into the role of defending humanity from the gathering forces of darkness.,"Matt Ryan, Charles Halford, Ang̩lica Celaya","Fantasy, Horror ",45 Minutes,1666075,0.08,1,997
Jane The Virgin,"A young, devout woman discovers that she was accidentally artificially inseminated.","Anthony Mendez, Camille Collard, Andrea Navedo",Drama ,60 Minutes,5927995,0.18,5,998
The Flash,The adventures of scientist Barry Allen who is a superhero with incredible speed.,"Grant Gustin, Candice Patton, Rick Cosnett","Action, Adventure, Drama ",60 Minutes,29973460,0.82,6,999
How to Get Away with Murder,A group of ambitious law students and their brilliant criminal defense professor become involved in a twisted murder plot that promises to change the course of their lives.,"Viola Davis, Charlie Weber, Billy Brown","Crime, Drama, Mystery ",45 Minutes,8403524,0.49,6,1000
Hawaii Five-0,"Steve McGarrett returns home to Oahu, in order to find his fathers killer. The governor offers him the chance to run his own task force (Five-0). Steves team is joined by Chin Ho Kelly, Danny Danno Williams, and Kono Kalakaua.","Alex OLoughlin, Scott Caan, Daniel Dae Kim","Action, Crime, Drama ",42 Minutes,3119435,0.28,6,1001
Bones,"Brilliant, but socially inept, forensic anthropologist Dr. Temperence Brennan works at the Jeffersonian Institute in Washington DC. After consulting for him on a FBI case, she is approached by cocky yet charming ex-Army Ranger turned Special Agent, Seeley Booth to help the Bureau solve crimes by identifying human remains that are too far gone for standard FBI forensic investigations. Brennan's empirical, literal view of the world causes friction with Booths emotive, instinctive attitude creating a volatile relationship. However as their case load increases the symbiotic partnership produces results and with the support of Brennan's Squint Squad, murderers, past and present should be on the look out.","Emily Deschanel, David Boreanaz, Michaela Conlin","Comedy, Crime, Drama ",45 Minutes,1586369,0.05,3,1002
Nashville,A fading country music star comes into conflict with a rising teen star.,"Connie Britton, Hayden Panettiere, Clare Bowen","Drama, Music ",43 Minutes,1074979,0.02,4,1003
Red Band Society,A look at the lives of a group of teenagers living in a hospital.,"Octavia Spencer, Dave Annable, Astro",Drama ,45 Minutes,573628,0.01,1,1004
Forever,Henry Morgan is a man who's been alive for 200 years and he doesn't know why and has spent the past 200 years trying to find out. Presently he works as a medical examiner in New York. Detective Jo Martinez works with him and is intrigued with him. Abe is the only one who knows Henry's secret.,"Ioan Gruffudd, Alana De La Garza, Lorraine Toussaint","Drama, Sci-Fi ",43 Minutes,1306755,0.05,1,1005
Chicago Fire,"The show explores the lives, both professional and personal, of the firefighters and paramedics of the Chicago Fire Department at the quarters of Engine Co. 51, Truck Co. 81, Rescue Squad Co. 3, and Ambulance 61. Following the death of Firefighter Andrew Darden, the loyalties fracture and divide as the Lieutenant, or officer-in-charge of Truck Co. 81, Matthew Casey and the officer-in-charge of Squad Co. 3, Lieutenant Kelly Severide both blame one another for Darden's death. Kelly Severide is consumed with more guilt when he learns Darden's wife also blames him for the tragedy. Despite their differences, the firehouse comes together after the near death of Truck Co. 81 Firefighter Christopher Herrmann.","Jesse Spencer, Taylor Kinney, Monica Raymund","Action, Drama ",43 Minutes,2307934,0.13,6,1006
Gotham,The origin story behind Commissioner James Gordons rise to prominence in Gotham City in the years before Batmans arrival.,"Ben McKenzie, Donal Logue, Zabryna Guevara","Crime, Drama, Thriller ",45 Minutes,7405270,0.25,5,1007
Scorpion,An eccentric genius forms an international network of super-geniuses to act as the last line of defense against the complicated threats of the modern world.,"Elyes Gabel, Katharine McPhee, Eddie Kaye Thomas","Action, Drama ",45 Minutes,6291442,0.13,4,1008
The Good Wife,"Alicia has been a good wife to her husband, a former states attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.","Julianna Margulies, Chris Noth, Josh Charles","Crime, Drama, Mystery ",60 Minutes,1346682,0.03,2,1009
Downton Abbey,"Lord Grantham sees his family heritage, especially the grand country home Downton Abbey, as his mission in life. The death of his heir aboard the Titanic means distant cousin Matthew Crawley, a Manchester lawyer, suddenly is next in line and accepts moving onto the vast estate with his even more modernist, socially engaged mother, who clashes with his lordship's domineering, conservative mother, the dowager countess. Marrying off the daughters is another concern. Meanwhile, the butler presides over a staff which serves the family, but also lead most of their entire lives in the servants quarters, intriguing amongst themselves.","Hugh Bonneville, Phyllis Logan, Elizabeth McGovern",Drama ,65 Minutes,683142,0.01,2,1010
Doctor Who,"The continuing adventures of The Doctor, an alien time traveler - a Time Lord - from Gallifrey. Together with his companions they travel through time and space in the TARDIS, battling evil where they find it.","Matt Smith, David Tennant, Jenna Coleman","Adventure, Drama, Family ",45 Minutes,1366994,0.06,5,1011
Youre the Worst,"Centers on two toxic, self-destructive people who fall in love and attempt a relationship.","Chris Geere, Aya Cash, Desmin Borges","Comedy, Romance ",30 Minutes,1550249,0.04,5,1012
Legends,"Follows a deep-cover operative named Martin Odum, who has an uncanny ability to transform himself into a different person for each job. But his own identity comes into question when a mysterious stranger suggests that Martin isn't who he thinks he is","Sean Bean, Ali Larter, Tina Majorino","Action, Crime, Drama ",60 Minutes,1905929,0.04,2,1013
Satisfaction,"A provocative drama that explores modern marriage at its midpoint. Through the lens of one couple, Neil Truman, and his wife Grace, this series answers the question, ""What do you do when having it all is not enough?"" by delving into their shocking and unconventional choices.","Stephanie Szostak, Blair Redford, Katherine LaNasa",Drama ,44 Minutes,965456,0.01,2,1014
Girl Meets World,"More than a decade after ""Boy Meets World,"" Cory and Topanga Matthews are married and have two children. Their daughter, Riley, faces life lessons through her family, friends, and school--where her father is her history teacher--as her parents did when they were younger.","Rowan Blanchard, Ben Savage, Sabrina Carpenter","Comedy, Family ",23 Minutes,1061202,0.01,2,1015
Outlander,"Follows the story of Claire Randall, a married combat nurse from 1945 who is mysteriously swept back in time to 1743, where she is immediately thrown into an unknown world where her life is threatened. When she is forced to marry Jamie Fraser, a chivalrous and romantic young Scottish warrior, a passionate relationship is ignited that tears Claires heart between two vastly different men in two irreconcilable lives.","Nell Hudson, John Heffernan, Caitriona Balfe","Drama, Romance, Sci-Fi ",64 Minutes,1661572,0.1,5,1016
Manhattan,"Set against the backdrop of the greatest clandestine race against time in the history of science with the mission to build the worlds first atomic bomb in Los Alamos, New Mexico. Flawed scientists and their families attempt to co-exist in a world where secrets and lies infiltrate every aspect of their lives.","John Benjamin Hickey, Rachel Brosnahan, Steve Larese",Drama ,55 Minutes,638481,0.01,2,1017
The Knick,A look at the professional and personal lives of the staff at New Yorks Knickerbocker Hospital during the early part of the twentieth century.,"Clive Owen, Andr̩ Holland, Jeremy Bobb",Drama ,60 Minutes,590250,0,2,1018
The Strain,"A thriller that tells the story of Dr. Ephraim Goodweather, the head of the Center for Disease Control Canary Team in New York City. He and his team are called upon to investigate a mysterious viral outbreak with hallmarks of an ancient and evil strain of vampirism. As the strain spreads, Eph, his team, and an assembly of everyday New Yorkers, wage war for the fate of humanity itself.","David Bradley, Anne Betancourt, Nikolai Witschl","Drama, Horror, Sci-Fi ",60 minutes,2039272,0.02,4,1019
Extant,"After spending a year in space, where she lived and conducted strange experiments, astronaut Molly Watts (Halle Berry) tries to resume a normal life with her family consisting of her husband, John, a gifted scientist, and Ethan, their son, a boy like no other. He is not their biological son as Molly is infertile. Ethan was designed by his father as the first prototype of a future line of ""Humanichs"", ""human robots"". But the return of Molly will have dramatic consequences for the entire planet and the fate of mankind.","Brad Beyer, Halle Berry, Goran Visnjic","Drama, Sci-Fi, Thriller ",42 Minutes,1109210,0.01,2,1020
Tyrant,Series tells the story of an unassuming American family drawn into the workings of a turbulent Middle Eastern nation.,"Adam Rayner, Jennifer Finnigan, Ashraf Barhom","Action, Drama, Thriller ",60 Minutes,3142725,0.05,3,1021
The Last Ship,The crew of a naval destroyer is forced to confront the reality of a new existence when a pandemic kills off most of the earths population.,"Eric Dane, Rhona Mitra, Adam Baldwin","Action, Drama, Sci-Fi ",60 Minutes,4808797,0.35,5,1022
The Leftovers,"Revolves around mysterious disappearances, world-wide, and specifically follows a group of people who are left behind in the suburban community of Mapleton. They must begin to rebuild their lives after the loss of more than 100 people.","Frank Harts, Michael Gaston, Justin Theroux","Drama, Fantasy, Mystery ",60 Minutes,807355,0.01,3,1023
Crossbones,"The tale takes place on the island of New Providence in the Bahamas. This unique place of piracy, theft and outlaws is reigned by the fearsome pirate captain Edward Teach, known as Blackbeard. But a scheme has been designed to throw Blackbeard from his throne. An assassin, Tom Lowe, is sent with the task to execute the pirate leader. However, as Lowe moves closer towards Blackbeard, he starts to admire his ideas and involvement in the rogue society. And of course, Lowe will not be Blackbeards only enemy.","John Malkovich, Yasmine Al Massri, Tracy Ifeachor","Adventure, Drama ",60 Minutes,828420,0.01,1,1024
Power,"Power tells the story of James Ghost St. Patrick, a wealthy New York City nightclub owner who caters to the city's elite. He wants to build an empire, turn the club into a Fortune 500 business, but there's just one problem: Ghost is living a double life. When he is not in the club, he is the kingpin of the most lucrative drug network in New York for a very high-level clientele. His marriage, family and business all become unknowingly threatened as he is tempted to leave his criminal life behind and become the rags-to-riches businessman he wants to be most of all.","Luis Antonio Ramos, Andy Bean, Adam Huss","Crime, Drama ",60 Minutes,17855388,0.89,6,1025
Dominion,"Twenty-five years after the Archagnel Gabriel led an army of lower angels in the ""Extinction War"" against humans, the survivors have retreated to fortified cities such as Vega where they struggle to exist and rebuild society among political turmoil, internal power struggles and the ever present threat of danger from the angels.

Soldier Alex Lannon, a rogue operative with a rebellious streak and a dangerously close relationship with the daughter of Vega's ruler and the Archangel Michael, the only angel to side with humans in the war, are among the only hopes humans have of surviving and perhaps winning the war.","Christopher Egan, Tom Wisdom, Roxanne McKee","Action, Drama, Fantasy ",90 Minutes,2307650,0.06,2,1026
Mistresses,"A drama about the scandalous lives of a group of four girlfriends - each on her own path to self-discovery as they brave the turbulent journey together. Meet Savi (Alyssa Milano), a successful career woman working toward the next phase in her life, both professional and personal; simultaneously bucking for partner at her law firm while she and her husband Harry (Brett Tucker) are trying to start a family of their own. Savi's free-spirited and capricious baby sister Josselyn (Jes Macallan) couldn't be more different - living single, serial dating and partying - and regularly leaning on her big sister along the way. Their mutual best friend, April (Rochelle Aytes), a recent widow and mother of one, is rebuilding her life after tragedy and learning to move forward - with the support and guidance of her closest girlfriends. And friend Karen (Yunjin Kim), a successful therapist with her own practice, reconnects with the girls after her involvement in a complicated relationship with a patien","Alyssa Milano, Yunjin Kim, Rochelle Aytes","Drama, Thriller ",43 Minutes,3035881,0.03,4,1027
Resurrection,"The people of Arcadia, Missouri are forever changed when their deceased loved ones suddenly start to return. An 8-year-old American boy wakes up alone in a rice paddy in a rural Chinese province with no idea how he got there. Details start to emerge when the boy, who calls himself Jacob, recalls that his hometown is Arcadia, and an Immigration agent, J. Martin Bellamy, takes him there. The home he claims as his own is occupied by an elderly couple, Henry and Lucille Langston, who lost their son, Jacob, more than 30 years ago. While they look different, young Jacob recognizes them as his parents. Those closest to the family try to unravel this impossible mystery - but this boy who claims to be the deceased Jacob knows secrets about his own death that no one else knows.","Omar Epps, Frances Fisher, Matt Craven","Drama, Fantasy ",43 Minutes,1075976,0.02,2,1028
Continuum,A detective from the year 2077 finds herself trapped in present day Vancouver and searching for ruthless criminals from the future.,"Rachel Nichols, Victor Webster, Erik Knudsen","Action, Sci-Fi, Thriller ",45 Minutes,1061749,0.05,2,1029
Californication,"A self-loathing, alcoholic writer attempts to repair his damaged relationships with his daughter and her mother while combating sex addiction, a budding drug problem, and the seeming inability to avoid making bad decisions.","David Duchovny, Natascha McElhone, Evan Handler","Comedy, Drama ",28 Minutes,1080295,0.06,1,1030
Friends With Better Lives,A comedy centered around six 30-something friends who each think the other has it better.,"Majandra Delfino, Zoe Lister Jones, Brooklyn Decker",Comedy ,22 Minutes,1097988,0.02,1,1031
Penny Dreadful,"Explorer Sir Malcolm Murray, American gunslinger Ethan Chandler, and others unite to combat supernatural threats in Victorian London.","Robert Nairne, Timothy Dalton, Eva Green","Drama, Horror ",60 Minutes,1035735,0.03,3,1032
The Boondocks,"Based on the comic strip, Huey and Riley move away from the city and out to the suburbs with their irascible grandfather. Biting socio-political commentary ensues.","Regina King, John Witherspoon, Cedric Yarbrough","Action, Animation, Comedy ",20 Minutes,1381752,0.14,1,1033
Chicago PD,"District 21 of the Chicago Police Department is made up of two distinctly different groups. There are the uniformed cops who patrol the beat and go head-to-head with the citys street crimes. And theres the Intelligence Unit, the team that combats the citys major offenses - organized crime, drug trafficking, high profile murders and beyond.","Sophia Bush, Jason Beghe, Jon Seda","Action, Drama ",60 Minutes,3309387,0.18,7,1034
Crisis,"Centers on an idealistic Secret Service agent who finds himself at the center of an international crisis on his first day on the job. In his search for the truth, he will have to cross moral and legal lines as he navigates the highest levels of power and corruption.","Stevie Lynn Jones, Adam Scott Miller, Max Martini","Action, Drama, Thriller ",60 Minutes,1100725,0.04,1,1035
Silicon Valley,"In the high-tech gold rush of modern Silicon Valley, the people most qualified to succeed are the least capable of handling success. A comedy partially inspired by Mike Judges own experiences as a Silicon Valley engineer in the late 1980s.","Thomas Middleditch, Josh Brener, Martin Starr",Comedy ,30 Minutes,1515210,0.05,6,1036
Salem,"Set in the volatile world of 17th century Massachusetts, 'Salem' explores what really fueled the town's infamous witch trials and dares to uncover the dark, supernatural truth hiding behind the veil of this infamous period in American history. In Salem, witches are real, but they are not who or what they seem.","Janet Montgomery, Shane West, Seth Gabel","Drama, Sci-Fi, Thriller ",60 Minutes,1568135,0.04,3,1037
